  crn, julian, press, temp, sal, fluor, nit,
#, day, dbar, ITS-90, PSS-78, ug/l, umol/kg,
185, 6559,   10.0, 26.5110, 35.1655,  0.0776,   5.749,
186, 6594,   10.0, 26.2321, 35.1359,  0.0802,   4.202,
187, 6613,   10.0, 25.9536, 35.0948,  0.0953,   5.137,
188, 6644,   10.0, 24.8931, 35.2396,  0.1702,   2.974,
189, 6703,   10.0, 23.8029, 35.1912,  0.1304,   3.706,
190, 6745,   10.0, 23.4512, 35.1570,  0.1216,   3.227,
191, 6790,   10.0, 24.6699, 34.8671,  0.0987,   4.923,
192, 6826,   10.0, 25.5305, 34.9433,  0.0809,   2.688,
193, 6854,   10.0, 25.6562, 35.0642,  0.1040,   5.602,
194, 6881,   10.0, 26.4353, 35.0260,  0.0993,   5.690,
195, 6911,   10.0, 26.5636, 35.1170,  0.0767,  -9.000,
196, 6941,   10.0, 26.0895, 35.0841,  0.1657,   1.377,
197, 7001,   10.0, 25.1005, 35.0264,  0.1517,   3.387,
198, 7020,   10.0, 24.4944, 35.0136,  0.2496,   3.976,
199, 7060,   10.0, 23.0880, 35.1769,  0.2413,   2.273,
200, 7085,   10.0, 23.6026, 35.1815,  0.0859,   3.492,
201, 7179,   10.0, 25.3151, 34.8957,  0.0224,   2.614,
202, 7208,   10.0, 25.5276, 35.0614,  0.1212,   3.103,
203, 7239,   10.0, 25.8666, 34.9408,  0.1025,   4.105,
204, 7260,   10.0, 26.0172, 35.0467,  0.1551,   3.650,
205, 7315,   10.0, 26.2869, 35.2946,  0.2228,   4.887,
206, 7366,   10.0, 24.9407, 35.2017,  0.3584,   4.429,
208, 7417,   10.0, 23.3988, 35.3347,  0.2327,   4.834,
209, 7445,   10.0, 22.9113, 35.3131,  0.1252,   4.618,
210, 7515,   10.0, 22.9091, 35.2521,  0.0857,   3.527,
211, 7544,   10.0, 24.8010, 35.4059,  0.1063,   6.760,
212, 7581,   10.0, 25.5284, 35.0996,  0.0813,   4.901,
213, 7602,   10.0, 25.8005, 35.1526,  0.0991,   5.060,
214, 7627,   10.0, 26.1430, 35.2025,  0.1031,   3.814,
215, 7664,   10.0, 26.5414, 35.4653,  0.1076,   3.844,
216, 7704,   10.0, 26.1660, 35.2936,  0.1561,   3.942,
217, 7740,   10.0, 24.4194, 35.3662,  0.1608,   3.658,
219, 7830,   10.0, 23.3490, 35.2584,  0.1489,   4.355,
220, 7858,   10.0, 23.3266, 35.2646,  0.1336,  -9.000,
221, 7900,   10.0, 24.3150, 35.2775,  0.0988,  -9.000,
222, 7921,   10.0, 24.6258, 35.4671,  0.1003,   0.300,
223, 7951,   10.0, 25.7983, 35.2124,  0.1279,   1.961,
224, 7981,   10.0, 25.5153, 35.1539,  0.0809,   1.666,
225, 8008,   10.0, 25.6610, 35.2274,  0.1033,   1.366,
226, 8038,   10.0, 26.0282, 35.2783,  0.1628,   1.468,
227, 8086,   10.0, 25.0492, 35.1439,  0.1010,   2.448,
228, 8135,   10.0, 23.7935, 35.4091,  0.2952,  -9.000,
229, 8155,   10.0, 23.7268, 35.3815,  0.1014,   2.325,
230, 8186,   10.0, 24.3956, 35.2141,  0.1114,   0.726,
231, 8228,   10.0, 24.0069, 35.0941,  0.1430,   1.524,
232, 8256,   10.0, 24.2483, 35.3022,  0.1886,   2.625,
233, 8327,   10.0, 25.3060, 34.9602,  0.0834,   2.642,
234, 8368,   10.0, 25.9179, 35.2444,  0.1327,   1.946,
235, 8396,   10.0, 26.1876, 35.2152,  0.0779,   2.582,
236, 8435,   10.0, 25.8546, 35.2140,  0.2022,   2.434,
237, 8459,   10.0, 24.7016, 35.2312,  0.3369,   2.981,
238, 8480,   10.0, 23.9896, 35.2812,  0.2413,   1.255,
239, 8510,   10.0, 23.6215, 35.2129,  0.1291,   2.036,
240, 8576,   10.0, 23.0478, 35.1867,  0.1093,   1.424,
241, 8614,   10.0, 23.4739, 35.1207,  0.0959,   0.264,
242, 8643,   10.0, 24.2405, 35.1291,  0.0770,  -9.000,
243, 8670,   10.0, 24.3721, 35.2152,  0.0810,   0.815,
244, 8705,   10.0, 25.0579, 35.1541,  0.0765,   0.814,
245, 8722,   10.0, 25.3407, 35.1499,  0.0482,   1.574,
246, 8750,   10.0, 25.5445, 35.0263,  0.0732,  -9.000,
247, 8773,   10.0, 25.6123, 35.0836,  0.0508,  -9.000,
248, 8830,   10.0, 24.8420, 35.3501,  0.1707,   1.311,
249, 8901,   10.0, 23.1532, 35.3498,  0.1343,   0.839,
250, 8923,   10.0, 22.7499, 35.4165,  0.1486,  -0.529,
251, 8953,   10.0, 22.7815, 35.4307,  0.1097,   0.144,
252, 8995,   10.0, 25.0467, 34.8732,  0.0511,  -0.127,
253, 9034,   10.0, 25.2262, 35.1850,  0.0969,   1.379,
254, 9112,   10.0, 26.9646, 35.4785,  0.1025,   1.427,
255, 9132,   10.0, 26.4692, 35.2472,  0.1482,   1.660,
256, 9158,   10.0, 26.5103, 35.1973,  0.0954,   2.452,
257, 9188,   10.0, 25.5669, 35.3926,  0.1269,  -9.000,
258, 9212,   10.0, 24.9963, 35.4218,  0.1421,   1.133,
259, 9238,   10.0, 24.1575, 35.4657,  0.1209,   0.731,
260, 9268,   10.0, 23.3845, 35.3894,  0.1678,   1.257,
261, 9287,   10.0, 24.2002, 35.1973,  0.0762,   1.078,
262, 9323,   10.0, 23.3853, 35.3160,  0.1077,   1.333,
263, 9374,   10.0, 25.1589, 35.2614,  0.0880,   1.672,
264, 9404,   10.0, 25.8310, 35.2573,  0.0960,   1.858,
265, 9480,   10.0, 27.4532, 34.9589,  0.0773,   2.403,
266, 9509,   10.0, 27.5800, 34.9920,  0.2003,   2.042,
267, 9548,   10.0, 26.2016, 35.3514,  0.2762,   2.762,
268, 9573,   10.0, 24.6351, 35.3257,  0.2710,   3.877,
269, 9643,   10.0, 24.0745, 35.2046,  0.1200,   2.515,
270, 9675,   10.0, 23.5998, 35.2880,  0.1420,   2.528,
271, 9699,   10.0, 24.3329, 35.0986,  0.1137,   1.801,
272, 9731,   10.0, 24.5673, 35.0908,  0.1258,   2.683,
273, 9758,   10.0, 25.5205, 35.0945,  0.0842,   1.506,
274, 9788,   10.0, 26.7261, 35.1565,  0.0819,   2.655,
275, 9812,   10.0, 27.1237, 35.3051,  0.1139,   2.815,
277, 9874,   10.0, 26.1333, 35.2305,  0.1311,   0.433,
278, 9905,   10.0, 25.8681, 35.1953,  0.2154,   0.361,
279, 9930,   10.0, 25.8127, 34.9909,  0.1281,   1.599,
280, 9965,   10.0, 24.9891, 34.9215,  0.1790,   2.994,
281, 9993,   10.0, 24.5366, 35.0324,  0.1519,   1.936,
282, 10021,   10.0, 24.3680, 35.0680,  0.1794,   3.272,
283, 10058,   10.0, 24.4225, 34.8368,  0.0945,   2.084,
284, 10102,   10.0, 25.8900, 34.8815,  0.0766,   1.025,
285, 10146,   10.0, 25.8429, 34.9062,  0.1005,   2.457,
286, 10175,   10.0, 26.2488, 34.8842,  0.1265,   2.065,
287, 10242,   10.0, 26.2543, 34.9304,  0.1381,   0.779,
288, 10284,   10.0, 24.9700, 35.1152,  0.1520,   2.496,
289, 10342,   10.0, 23.6198, 35.0662,  0.1829,   1.752,
290, 10372,   10.0, 23.6352, 34.9635,  0.1638,   4.097,
291, 10406,   10.0, 24.4647, 34.9397,  0.0769,   1.430,
292, 10434,   10.0, 25.0893, 34.8463,  0.1075,   1.450,
293, 10462,   10.0, 25.2997, 34.8654,  0.0682,  -0.015,
294, 10490,   10.0, 26.2533, 34.7855,  0.0667,   1.144,
295, 10539,   10.0, 27.1171, 34.9222,  0.1142,  -2.256,
296, 10598,   10.0, 26.8040, 35.0906,  0.1043,  -1.903,
297, 10631,   10.0, 26.1096, 35.0510,  0.1433,  -0.332,
